pipeline,model,format,task,correct,total,accuracy_pct
VLM-TEXT,gemma_3-27B-IT,html,cell_lookup,283,629,45.0
VLM-TEXT,gemma_3-27B-IT,html,reverse_lookup,350,629,55.6
VLM-TEXT,gemma_3-27B-IT,html,column_retrieval,597,629,94.9
VLM-TEXT,gemma_3-27B-IT,html,row_retrieval,102,629,16.2
VLM-TEXT,gemma_3-27B-IT,html,OVERALL,4241,6290,67.4
VLM-TEXT,gemma_3-27B-IT,markdown,table_partition,103,629,16.4
VLM-TEXT,gemma_3-27B-IT,markdown,table_first_cell,285,629,45.3
VLM-TEXT,gemma_3-27B-IT,markdown,table_last_cell,444,629,70.6
VLM-TEXT,gemma_3-27B-IT,markdown,size_detection,374,629,59.5
VLM-TEXT,gemma_3-27B-IT,markdown,number_of_rows,524,629,83.3
VLM-TEXT,gemma_3-27B-IT,markdown,number_of_columns,481,629,76.5
VLM-TEXT,gemma_3-27B-IT,markdown,cell_lookup,255,629,40.5
VLM-TEXT,gemma_3-27B-IT,markdown,reverse_lookup,242,629,38.5
VLM-TEXT,gemma_3-27B-IT,markdown,column_retrieval,576,629,91.6
VLM-TEXT,gemma_3-27B-IT,markdown,row_retrieval,73,629,11.6
VLM-TEXT,gemma_3-27B-IT,markdown,OVERALL,3357,6290,53.4
VLM-TEXT,gemma_3-27B-IT,latex,table_partition,209,629,33.2
VLM-TEXT,gemma_3-27B-IT,latex,table_first_cell,394,629,62.6
VLM-TEXT,gemma_3-27B-IT,latex,table_last_cell,479,629,76.2
VLM-TEXT,gemma_3-27B-IT,latex,size_detection,380,629,60.4
VLM-TEXT,gemma_3-27B-IT,latex,number_of_rows,378,629,60.1
VLM-TEXT,gemma_3-27B-IT,latex,number_of_columns,626,629,99.5
VLM-TEXT,gemma_3-27B-IT,latex,cell_lookup,264,629,42.0
VLM-TEXT,gemma_3-27B-IT,latex,reverse_lookup,203,629,32.3
VLM-TEXT,gemma_3-27B-IT,latex,column_retrieval,560,629,89.0
VLM-TEXT,gemma_3-27B-IT,latex,row_retrieval,83,629,13.2
VLM-TEXT,gemma_3-27B-IT,latex,OVERALL,3576,6290,56.9
VLM-TEXT,gpt-5.2,html,table_partition,597,629,94.9
VLM-TEXT,gpt-5.2,html,table_first_cell,625,629,99.4
VLM-TEXT,gpt-5.2,html,table_last_cell,601,629,95.5
VLM-TEXT,gpt-5.2,html,size_detection,619,629,98.4
VLM-TEXT,gpt-5.2,html,number_of_rows,612,629,97.3
VLM-TEXT,gpt-5.2,html,number_of_columns,629,629,100.0
VLM-TEXT,gpt-5.2,html,cell_lookup,335,629,53.3
VLM-TEXT,gpt-5.2,html,reverse_lookup,541,629,86.0
VLM-TEXT,gpt-5.2,html,column_retrieval,596,629,94.8
VLM-TEXT,gpt-5.2,html,row_retrieval,531,629,84.4
VLM-TEXT,gpt-5.2,html,OVERALL,5686,6290,90.4
VLM-TEXT,gpt-5.2,markdown,table_partition,557,629,88.6
VLM-TEXT,gpt-5.2,markdown,table_first_cell,597,629,94.9
VLM-TEXT,gpt-5.2,markdown,table_last_cell,587,629,93.3
VLM-TEXT,gpt-5.2,markdown,size_detection,549,629,87.3
VLM-TEXT,gpt-5.2,markdown,number_of_rows,604,629,96.0
VLM-TEXT,gpt-5.2,markdown,number_of_columns,628,629,99.8
VLM-TEXT,gpt-5.2,markdown,cell_lookup,93,629,14.8
VLM-TEXT,gpt-5.2,markdown,reverse_lookup,219,629,34.8
VLM-TEXT,gpt-5.2,markdown,column_retrieval,605,629,96.2
VLM-TEXT,gpt-5.2,markdown,row_retrieval,158,629,25.1
VLM-TEXT,gpt-5.2,markdown,OVERALL,4597,6290,73.1
VLM-TEXT,gpt-5.2,latex,table_partition,569,629,90.5
VLM-TEXT,gpt-5.2,latex,table_first_cell,619,629,98.4
VLM-TEXT,gpt-5.2,latex,table_last_cell,582,629,92.5
VLM-TEXT,gpt-5.2,latex,size_detection,184,629,29.3
VLM-TEXT,gpt-5.2,latex,number_of_rows,531,629,84.4
VLM-TEXT,gpt-5.2,latex,number_of_columns,629,629,100.0
VLM-TEXT,gpt-5.2,latex,cell_lookup,44,629,7.0
VLM-TEXT,gpt-5.2,latex,reverse_lookup,108,629,17.2
VLM-TEXT,gpt-5.2,latex,column_retrieval,614,629,97.6
VLM-TEXT,gpt-5.2,latex,row_retrieval,22,629,3.5
VLM-TEXT,gpt-5.2,latex,OVERALL,3902,6290,62.0
VLM-TEXT,llava_1.6-vicuna-13B,html,table_partition,0,599,0.0
VLM-TEXT,llava_1.6-vicuna-13B,html,table_first_cell,129,600,21.5
VLM-TEXT,llava_1.6-vicuna-13B,html,table_last_cell,31,600,5.2
VLM-TEXT,llava_1.6-vicuna-13B,html,size_detection,6,600,1.0
VLM-TEXT,llava_1.6-vicuna-13B,html,number_of_rows,74,600,12.3
VLM-TEXT,llava_1.6-vicuna-13B,html,number_of_columns,187,600,31.2
VLM-TEXT,llava_1.6-vicuna-13B,html,cell_lookup,15,599,2.5
VLM-TEXT,llava_1.6-vicuna-13B,html,reverse_lookup,4,599,0.7
VLM-TEXT,llava_1.6-vicuna-13B,html,column_retrieval,96,599,16.0
VLM-TEXT,llava_1.6-vicuna-13B,html,row_retrieval,1,599,0.2
VLM-TEXT,llava_1.6-vicuna-13B,html,OVERALL,543,5995,9.1
VLM-TEXT,llava_1.6-vicuna-13B,markdown,table_partition,0,616,0.0
VLM-TEXT,llava_1.6-vicuna-13B,markdown,table_first_cell,77,616,12.5
VLM-TEXT,llava_1.6-vicuna-13B,markdown,table_last_cell,30,616,4.9
VLM-TEXT,llava_1.6-vicuna-13B,markdown,size_detection,0,616,0.0
VLM-TEXT,llava_1.6-vicuna-13B,markdown,number_of_rows,50,616,8.1
VLM-TEXT,llava_1.6-vicuna-13B,markdown,number_of_columns,34,616,5.5
VLM-TEXT,llava_1.6-vicuna-13B,markdown,cell_lookup,10,616,1.6
VLM-TEXT,llava_1.6-vicuna-13B,markdown,reverse_lookup,8,616,1.3
VLM-TEXT,llava_1.6-vicuna-13B,markdown,column_retrieval,77,616,12.5
VLM-TEXT,llava_1.6-vicuna-13B,markdown,row_retrieval,0,616,0.0
VLM-TEXT,llava_1.6-vicuna-13B,markdown,OVERALL,286,6160,4.6
VLM-TEXT,llava_1.6-vicuna-13B,latex,table_partition,0,619,0.0
VLM-TEXT,llava_1.6-vicuna-13B,latex,table_first_cell,153,619,24.7
VLM-TEXT,llava_1.6-vicuna-13B,latex,table_last_cell,47,619,7.6
VLM-TEXT,llava_1.6-vicuna-13B,latex,size_detection,2,619,0.3
VLM-TEXT,llava_1.6-vicuna-13B,latex,number_of_rows,6,619,1.0
VLM-TEXT,llava_1.6-vicuna-13B,latex,number_of_columns,10,619,1.6
VLM-TEXT,llava_1.6-vicuna-13B,latex,cell_lookup,14,619,2.3
VLM-TEXT,llava_1.6-vicuna-13B,latex,reverse_lookup,15,619,2.4
VLM-TEXT,llava_1.6-vicuna-13B,latex,column_retrieval,120,619,19.4
VLM-TEXT,llava_1.6-vicuna-13B,latex,row_retrieval,1,619,0.2
VLM-TEXT,llava_1.6-vicuna-13B,latex,OVERALL,368,6190,5.9
VLM-TEXT,llava_1.6-vicuna-7B,html,table_partition,0,599,0.0
VLM-TEXT,llava_1.6-vicuna-7B,html,table_first_cell,165,600,27.5
VLM-TEXT,llava_1.6-vicuna-7B,html,table_last_cell,16,600,2.7
VLM-TEXT,llava_1.6-vicuna-7B,html,size_detection,0,600,0.0
VLM-TEXT,llava_1.6-vicuna-7B,html,number_of_rows,0,600,0.0
VLM-TEXT,llava_1.6-vicuna-7B,html,number_of_columns,0,600,0.0
VLM-TEXT,llava_1.6-vicuna-7B,html,cell_lookup,0,599,0.0
VLM-TEXT,llava_1.6-vicuna-7B,html,reverse_lookup,6,599,1.0
VLM-TEXT,llava_1.6-vicuna-7B,html,column_retrieval,86,599,14.4
VLM-TEXT,llava_1.6-vicuna-7B,html,row_retrieval,0,599,0.0
