pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,usable_rate,grits_top_valid_only,grits_con_valid_only,grits_top_zero_pen,grits_con_zero_pen,count
VLM,InternVL3.5-14B,tabfact,latex,markdown,0.9956,0.9552,0.9927,1.0,0.9524,0.9593,1.0,0.9956,0.9552,0.9956,0.9552,124
VLM,InternVL3.5-14B,feverous,latex,markdown,0.9838,0.9334,0.9939,0.9845,0.9342,0.9336,0.9868,0.9936,0.9458,0.9805,0.9334,76
VLM,InternVL3.5-14B,wikitq,latex,latex,0.8602,0.8538,0.8706,0.8588,0.8593,0.8548,0.8268,0.9304,0.9278,0.7693,0.7671,179
VLM,InternVL3.5-14B,hybridqa,latex,latex,0.9934,0.952,0.9923,0.9951,0.9513,0.9531,0.8986,0.997,0.9637,0.8959,0.8661,148
VLM,InternVL3.5-14B,sqa,latex,latex,0.9894,0.9725,0.9841,0.999,0.9671,0.9825,0.951,0.9889,0.9798,0.9404,0.9318,102
VLM,InternVL3.5-14B,tabfact,latex,latex,0.9919,0.9733,0.991,0.9931,0.9724,0.9744,0.9677,0.9924,0.975,0.9604,0.9435,124
VLM,InternVL3.5-14B,feverous,latex,latex,0.9901,0.9442,0.9873,0.9955,0.9422,0.9475,0.9605,0.9912,0.9505,0.952,0.913,76
VLM,InternVL3.5-30B-A3B,wikitq,html,html,0.9541,0.8982,0.9869,0.9462,0.9174,0.8944,1.0,0.9541,0.8982,0.9541,0.8982,179
VLM,InternVL3.5-30B-A3B,hybridqa,html,html,0.9929,0.9593,0.991,0.9958,0.9571,0.9626,1.0,0.9929,0.9593,0.9929,0.9593,148
VLM,InternVL3.5-30B-A3B,sqa,html,html,0.9941,0.9842,0.9911,0.9988,0.9812,0.9888,1.0,0.9941,0.9842,0.9941,0.9842,102
VLM,InternVL3.5-30B-A3B,tabfact,html,html,0.9997,0.9847,0.9995,0.9999,0.9845,0.9849,1.0,0.9997,0.9847,0.9997,0.9847,124
VLM,InternVL3.5-30B-A3B,feverous,html,html,0.9875,0.9579,0.9865,0.991,0.9556,0.9622,1.0,0.9875,0.9579,0.9875,0.9579,76
VLM,InternVL3.5-30B-A3B,wikitq,html,markdown,0.9706,0.8973,0.9964,0.9657,0.9067,0.8951,1.0,0.9706,0.8973,0.9706,0.8973,179
VLM,InternVL3.5-30B-A3B,hybridqa,html,markdown,1.0,0.9601,1.0,1.0,0.9601,0.9601,1.0,1.0,0.9601,1.0,0.9601,148
VLM,InternVL3.5-30B-A3B,sqa,html,markdown,0.9913,0.9565,1.0,0.9905,0.9567,0.9564,1.0,0.9913,0.9565,0.9913,0.9565,102
VLM,InternVL3.5-30B-A3B,tabfact,html,markdown,1.0,0.9798,1.0,1.0,0.9798,0.9798,1.0,1.0,0.9798,1.0,0.9798,124
VLM,InternVL3.5-30B-A3B,feverous,html,markdown,0.989,0.9468,1.0,0.9866,0.9526,0.9452,1.0,0.989,0.9468,0.989,0.9468,76
VLM,InternVL3.5-30B-A3B,wikitq,html,latex,0.8484,0.8192,0.8912,0.835,0.8502,0.809,0.7765,0.9477,0.9226,0.7359,0.7164,179
VLM,InternVL3.5-30B-A3B,hybridqa,html,latex,0.9844,0.9495,0.9791,0.998,0.9455,0.9585,0.9257,0.9855,0.9523,0.9122,0.8816,148
VLM,InternVL3.5-30B-A3B,sqa,html,latex,0.9974,0.9875,0.9952,0.9999,0.9855,0.99,0.9902,0.9983,0.9887,0.9886,0.979,102
VLM,InternVL3.5-30B-A3B,tabfact,html,latex,0.9904,0.9738,0.9968,0.992,0.9723,0.9754,0.9274,0.9994,0.9835,0.9269,0.9121,124
VLM,InternVL3.5-30B-A3B,feverous,html,latex,0.9852,0.9341,0.9776,0.997,0.9282,0.9428,0.9079,0.9942,0.9491,0.9026,0.8617,76
VLM,InternVL3.5-30B-A3B,wikitq,markdown,html,0.9676,0.8908,0.9953,0.9594,0.8992,0.8873,1.0,0.9676,0.8908,0.9676,0.8908,179
VLM,InternVL3.5-30B-A3B,hybridqa,markdown,html,0.9983,0.9474,0.9999,0.997,0.9482,0.9467,1.0,0.9983,0.9474,0.9983,0.9474,148
VLM,InternVL3.5-30B-A3B,sqa,markdown,html,0.998,0.9358,1.0,0.9966,0.9366,0.9353,1.0,0.998,0.9358,0.998,0.9358,102
VLM,InternVL3.5-30B-A3B,tabfact,markdown,html,1.0,0.9765,1.0,1.0,0.9765,0.9765,1.0,1.0,0.9765,1.0,0.9765,124
VLM,InternVL3.5-30B-A3B,feverous,markdown,html,0.9889,0.9352,0.9916,0.9899,0.9374,0.9348,1.0,0.9889,0.9352,0.9889,0.9352,76
VLM,InternVL3.5-30B-A3B,wikitq,markdown,markdown,0.9726,0.8907,0.9914,0.9719,0.8924,0.8918,1.0,0.9726,0.8907,0.9726,0.8907,179
VLM,InternVL3.5-30B-A3B,hybridqa,markdown,markdown,0.9862,0.9346,0.9997,0.9832,0.9391,0.9329,1.0,0.9862,0.9346,0.9862,0.9346,148
VLM,InternVL3.5-30B-A3B,sqa,markdown,markdown,0.9954,0.9747,0.9939,0.9996,0.9744,0.9756,1.0,0.9954,0.9747,0.9954,0.9747,102
VLM,InternVL3.5-30B-A3B,tabfact,markdown,markdown,0.9993,0.9788,0.9986,1.0,0.9782,0.9795,1.0,0.9993,0.9788,0.9993,0.9788,124
VLM,InternVL3.5-30B-A3B,feverous,markdown,markdown,0.9938,0.9376,0.994,0.9959,0.9386,0.9378,1.0,0.9938,0.9376,0.9938,0.9376,76
VLM,InternVL3.5-30B-A3B,wikitq,markdown,latex,0.881,0.8346,0.927,0.8578,0.8707,0.8159,0.7821,0.9584,0.9248,0.7496,0.7233,179
VLM,InternVL3.5-30B-A3B,hybridqa,markdown,latex,0.9891,0.9396,0.9885,0.9905,0.9388,0.9409,0.9122,0.9988,0.961,0.911,0.8766,148
VLM,InternVL3.5-30B-A3B,sqa,markdown,latex,0.9902,0.9416,0.9902,0.9902,0.9416,0.9416,0.9608,1.0,0.9561,0.9608,0.9186,102
VLM,InternVL3.5-30B-A3B,tabfact,markdown,latex,0.999,0.967,0.9982,1.0,0.9663,0.9679,0.9113,1.0,0.98,0.9113,0.8931,124
