prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,table_first_cell,606,629,96.3,96.3,96.3
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,table_last_cell,411,629,65.3,65.3,66.3
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,size_detection,461,629,73.3,86.2,86.6
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,number_of_rows,509,629,80.9,80.9,80.9
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,number_of_columns,571,629,90.8,90.8,90.9
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,cell_lookup,217,629,34.5,54.8,54.8
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,reverse_lookup,253,629,40.2,40.2,40.2
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,column_retrieval,522,629,83.0,83.0,83.1
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,row_retrieval,63,629,10.0,22.8,25.8
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,html,OVERALL,3912,6290,62.2,69.7,70.2
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,table_partition,216,629,34.3,66.7,68.1
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,table_first_cell,465,629,73.9,73.9,73.9
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,table_last_cell,343,629,54.5,54.5,54.7
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,size_detection,361,629,57.4,75.0,75.8
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,number_of_rows,471,629,74.9,74.9,74.9
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,number_of_columns,288,629,45.8,45.8,45.8
prompt2,LLM,Qwen3-30B-A3B-Instruct-2507,markdown,cell_lookup,62,629,9.9,28.1,28.1
