pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,count
VLM,InternVL3.5-30B-A3B,feverous,html,markdown,0.989,0.9468,1.0,0.9866,0.9526,0.9452,76
VLM,InternVL3.5-30B-A3B,wikitq,html,latex,0.8484,0.8192,0.8912,0.835,0.8502,0.809,179
VLM,InternVL3.5-30B-A3B,hybridqa,html,latex,0.9844,0.9495,0.9791,0.998,0.9455,0.9585,148
VLM,InternVL3.5-30B-A3B,sqa,html,latex,0.9974,0.9875,0.9952,0.9999,0.9855,0.99,102
VLM,InternVL3.5-30B-A3B,tabfact,html,latex,0.9904,0.9738,0.9968,0.992,0.9723,0.9754,124
VLM,InternVL3.5-30B-A3B,feverous,html,latex,0.9852,0.9341,0.9776,0.997,0.9282,0.9428,76
VLM,InternVL3.5-30B-A3B,wikitq,markdown,html,0.9676,0.8908,0.9953,0.9594,0.8992,0.8873,179
VLM,InternVL3.5-30B-A3B,hybridqa,markdown,html,0.9983,0.9474,0.9999,0.997,0.9482,0.9467,148
VLM,InternVL3.5-30B-A3B,sqa,markdown,html,0.998,0.9358,1.0,0.9966,0.9366,0.9353,102
VLM,InternVL3.5-30B-A3B,tabfact,markdown,html,1.0,0.9765,1.0,1.0,0.9765,0.9765,124
VLM,InternVL3.5-30B-A3B,feverous,markdown,html,0.9889,0.9352,0.9916,0.9899,0.9374,0.9348,76
VLM,InternVL3.5-30B-A3B,wikitq,markdown,markdown,0.9726,0.8907,0.9914,0.9719,0.8924,0.8918,179
VLM,InternVL3.5-30B-A3B,hybridqa,markdown,markdown,0.9862,0.9346,0.9997,0.9832,0.9391,0.9329,148
VLM,InternVL3.5-30B-A3B,sqa,markdown,markdown,0.9954,0.9747,0.9939,0.9996,0.9744,0.9756,102
VLM,InternVL3.5-30B-A3B,tabfact,markdown,markdown,0.9993,0.9788,0.9986,1.0,0.9782,0.9795,124
VLM,InternVL3.5-30B-A3B,feverous,markdown,markdown,0.9938,0.9376,0.994,0.9959,0.9386,0.9378,76
VLM,InternVL3.5-30B-A3B,wikitq,markdown,latex,0.881,0.8346,0.927,0.8578,0.8707,0.8159,179
VLM,InternVL3.5-30B-A3B,hybridqa,markdown,latex,0.9891,0.9396,0.9885,0.9905,0.9388,0.9409,148
VLM,InternVL3.5-30B-A3B,sqa,markdown,latex,0.9902,0.9416,0.9902,0.9902,0.9416,0.9416,102
VLM,InternVL3.5-30B-A3B,tabfact,markdown,latex,0.999,0.967,0.9982,1.0,0.9663,0.9679,124
VLM,InternVL3.5-30B-A3B,feverous,markdown,latex,0.9927,0.9388,0.9922,0.9955,0.9391,0.9395,76
VLM,InternVL3.5-30B-A3B,wikitq,latex,html,0.8915,0.8237,0.8904,0.9397,0.8135,0.8607,179
VLM,InternVL3.5-30B-A3B,hybridqa,latex,html,0.9968,0.9623,0.9958,0.9981,0.9614,0.9635,148
