pipeline,model,dataset,input_format,output_format,grits_top,grits_con,grits_precision_top,grits_recall_top,grits_precision_con,grits_recall_con,count
VLM,SmolVLM2-2.2B-Instruct,feverous,latex,markdown,0.8471,0.6683,0.8782,0.835,0.683,0.6604,32
VLM,SmolVLM2-2.2B-Instruct,wikitq,latex,latex,0.0,0.0,0.0,0.0,0.0,0.0,2
VLM,SmolVLM2-2.2B-Instruct,hybridqa,latex,latex,1.0,0.8476,1.0,1.0,0.8476,0.8476,2
VLM,SmolVLM2-2.2B-Instruct,sqa,latex,latex,0.8269,0.6346,0.8958,0.7679,0.6875,0.5893,1
VLM,gemini-3-flash-preview,wikitq,html,html,0.0241,0.0228,0.0513,0.0218,0.034,0.0209,178
VLM,gemini-3-flash-preview,hybridqa,html,html,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,147
VLM,gemini-3-flash-preview,sqa,html,html,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,102
VLM,gemini-3-flash-preview,tabfact,html,html,0.0484,0.0484,0.0484,0.0484,0.0484,0.0484,124
VLM,gemini-3-flash-preview,feverous,html,html,0.1974,0.1963,0.1974,0.1974,0.1963,0.1963,76
VLM,gemini-3-flash-preview,wikitq,html,markdown,0.9009,0.8807,0.9857,0.8867,0.9308,0.8689,179
VLM,gemini-3-flash-preview,hybridqa,html,markdown,0.9831,0.9775,0.9964,0.9797,0.99,0.9743,147
VLM,gemini-3-flash-preview,sqa,html,markdown,0.9731,0.9497,0.9879,0.9691,0.9609,0.9464,102
VLM,gemini-3-flash-preview,tabfact,html,markdown,0.9703,0.9657,0.9905,0.9652,0.9804,0.9615,124
VLM,gemini-3-flash-preview,feverous,html,markdown,0.9798,0.9614,0.9938,0.974,0.9735,0.9564,76
VLM,gemini-3-flash-preview,wikitq,html,latex,0.483,0.4787,0.5378,0.4751,0.5159,0.4713,179
VLM,gemini-3-flash-preview,hybridqa,html,latex,0.6748,0.6684,0.6995,0.6688,0.6846,0.6637,148
VLM,gemini-3-flash-preview,sqa,html,latex,0.7358,0.7303,0.7764,0.7315,0.7373,0.7281,102
VLM,gemini-3-flash-preview,tabfact,html,latex,0.7293,0.7281,0.7342,0.728,0.7323,0.727,124
VLM,gemini-3-flash-preview,feverous,html,latex,0.7122,0.7034,0.7492,0.712,0.7073,0.7044,76
VLM,gemini-3-flash-preview,wikitq,markdown,html,0.759,0.7285,0.8425,0.7469,0.7865,0.7174,179
VLM,gemini-3-flash-preview,hybridqa,markdown,html,0.8589,0.851,0.8815,0.8535,0.8719,0.846,147
VLM,gemini-3-flash-preview,sqa,markdown,html,0.9525,0.9329,0.96,0.9493,0.9403,0.9297,102
VLM,gemini-3-flash-preview,tabfact,markdown,html,0.9322,0.9302,0.9475,0.9273,0.9456,0.9254,124
VLM,gemini-3-flash-preview,feverous,markdown,html,0.8987,0.883,0.9273,0.8909,0.91,0.8755,76
VLM,gemini-3-flash-preview,wikitq,markdown,markdown,0.9035,0.8798,0.9888,0.8905,0.933,0.8689,179
VLM,gemini-3-flash-preview,hybridqa,markdown,markdown,0.9797,0.9731,1.0,0.975,0.9915,0.9687,147
VLM,gemini-3-flash-preview,sqa,markdown,markdown,0.9998,0.9997,1.0,0.9996,0.9999,0.9995,102
VLM,gemini-3-flash-preview,tabfact,markdown,markdown,0.9936,0.9928,1.0,0.9929,0.9972,0.9923,124
VLM,gemini-3-flash-preview,feverous,markdown,markdown,0.997,0.9814,1.0,0.9952,0.9841,0.9796,76
VLM,gemini-3-flash-preview,wikitq,markdown,latex,0.362,0.3572,0.3737,0.357,0.3734,0.3519,179
VLM,gemini-3-flash-preview,hybridqa,markdown,latex,0.5135,0.5117,0.5135,0.5135,0.5117,0.5117,148
VLM,gemini-3-flash-preview,sqa,markdown,latex,0.6373,0.6283,0.6373,0.6373,0.6283,0.6283,102
VLM,gemini-3-flash-preview,tabfact,markdown,latex,0.5963,0.595,0.596,0.5968,0.5946,0.5954,124
VLM,gemini-3-flash-preview,feverous,markdown,latex,0.5388,0.5284,0.5395,0.5382,0.529,0.5278,76
VLM,gemini-3-flash-preview,wikitq,latex,html,0.5376,0.501,0.7183,0.5037,0.6111,0.4769,179
VLM,gemini-3-flash-preview,hybridqa,latex,html,0.7412,0.7377,0.7654,0.7357,0.76,0.7326,147
VLM,gemini-3-flash-preview,sqa,latex,html,0.7155,0.7111,0.7246,0.712,0.7201,0.7076,102
VLM,gemini-3-flash-preview,tabfact,latex,html,0.6471,0.6468,0.6646,0.6426,0.6634,0.6423,124
VLM,gemini-3-flash-preview,feverous,latex,html,0.6212,0.6061,0.6542,0.611,0.6363,0.5969,76
VLM,gemini-3-flash-preview,wikitq,latex,markdown,0.7986,0.7524,0.9835,0.766,0.8621,0.7299,179
VLM,gemini-3-flash-preview,hybridqa,latex,markdown,0.9716,0.9638,1.0,0.9651,0.9895,0.9579,147
VLM,gemini-3-flash-preview,sqa,latex,markdown,0.9922,0.9656,1.0,0.9887,0.9728,0.9624,102
VLM,gemini-3-flash-preview,tabfact,latex,markdown,0.9865,0.9832,1.0,0.9833,0.9937,0.9804,124
VLM,gemini-3-flash-preview,feverous,latex,markdown,0.9865,0.9673,1.0,0.9822,0.9789,0.9635,76
VLM,gemini-3-flash-preview,wikitq,latex,latex,0.3745,0.3716,0.3799,0.3744,0.3716,0.3716,179
VLM,gemini-3-flash-preview,hybridqa,latex,latex,0.6486,0.6472,0.6486,0.6486,0.6472,0.6472,148
VLM,gemini-3-flash-preview,sqa,latex,latex,0.6814,0.676,0.6832,0.6803,0.6775,0.6752,102
VLM,gemini-3-flash-preview,tabfact,latex,latex,0.6694,0.6692,0.6694,0.6694,0.6692,0.6692,124
VLM,gemini-3-flash-preview,feverous,latex,latex,0.6316,0.6113,0.6316,0.6316,0.6113,0.6113,76
VLM,gemma_3-12B-IT,wikitq,html,html,0.8842,0.701,0.9235,0.8723,0.7119,0.6977,179
VLM,gemma_3-12B-IT,hybridqa,html,html,0.955,0.816,0.9592,0.96,0.8131,0.8241,148
VLM,gemma_3-12B-IT,sqa,html,html,0.9696,0.8836,0.9704,0.9758,0.8842,0.887,102
VLM,gemma_3-12B-IT,tabfact,html,html,0.9601,0.8213,0.9592,0.9677,0.8193,0.8288,124
VLM,gemma_3-12B-IT,feverous,html,html,0.9447,0.7784,0.9487,0.9478,0.779,0.7823,76
VLM,gemma_3-12B-IT,wikitq,html,markdown,0.9057,0.6981,0.9371,0.8992,0.7093,0.6969,179
VLM,gemma_3-12B-IT,hybridqa,html,markdown,0.9658,0.8271,0.9632,0.9759,0.8237,0.8345,148
VLM,gemma_3-12B-IT,sqa,html,markdown,0.976,0.8637,0.9744,0.982,0.8619,0.8681,102
VLM,gemma_3-12B-IT,tabfact,html,markdown,0.9718,0.8407,0.961,0.987,0.8319,0.8528,124
VLM,gemma_3-12B-IT,feverous,html,markdown,0.9505,0.768,0.9449,0.9728,0.7678,0.7802,76
VLM,gemma_3-12B-IT,wikitq,html,latex,0.8091,0.6343,0.875,0.7886,0.6705,0.623,179
VLM,gemma_3-12B-IT,hybridqa,html,latex,0.9419,0.7965,0.9382,0.9547,0.7935,0.8059,148
VLM,gemma_3-12B-IT,sqa,html,latex,0.9486,0.8518,0.9484,0.9615,0.8535,0.8588,102
VLM,gemma_3-12B-IT,tabfact,html,latex,0.9535,0.8132,0.9486,0.9643,0.8098,0.8211,124
VLM,gemma_3-12B-IT,feverous,html,latex,0.9398,0.7595,0.9294,0.9631,0.7547,0.7715,76
VLM,gemma_3-12B-IT,wikitq,markdown,html,0.9153,0.7112,0.9684,0.8913,0.7289,0.7009,179
VLM,gemma_3-12B-IT,hybridqa,markdown,html,0.9662,0.8081,0.9789,0.962,0.8097,0.8085,148
VLM,gemma_3-12B-IT,sqa,markdown,html,0.9756,0.8673,0.9803,0.9767,0.8711,0.8655,102
VLM,gemma_3-12B-IT,tabfact,markdown,html,0.9753,0.8518,0.9853,0.9702,0.8591,0.8485,124
VLM,gemma_3-12B-IT,feverous,markdown,html,0.945,0.804,0.9656,0.9368,0.8177,0.7946,76
VLM,gemma_3-12B-IT,wikitq,markdown,markdown,0.9204,0.7137,0.9525,0.9213,0.7234,0.7133,179
VLM,gemma_3-12B-IT,hybridqa,markdown,markdown,0.9622,0.8158,0.9754,0.9657,0.8177,0.8177,148
VLM,gemma_3-12B-IT,sqa,markdown,markdown,0.9886,0.8995,0.9903,0.9879,0.9013,0.8982,102
VLM,gemma_3-12B-IT,tabfact,markdown,markdown,0.9835,0.8709,0.988,0.9808,0.874,0.8691,124
VLM,gemma_3-12B-IT,feverous,markdown,markdown,0.9691,0.7848,0.987,0.959,0.7964,0.7781,76
VLM,gemma_3-12B-IT,wikitq,markdown,latex,0.8313,0.6519,0.9144,0.7936,0.696,0.6292,179
VLM,gemma_3-12B-IT,hybridqa,markdown,latex,0.9518,0.7891,0.971,0.9395,0.8023,0.7803,148
VLM,gemma_3-12B-IT,sqa,markdown,latex,0.9571,0.8502,0.9726,0.95,0.8648,0.8409,102
VLM,gemma_3-12B-IT,tabfact,markdown,latex,0.9654,0.8462,0.9667,0.9698,0.8479,0.8483,124
VLM,gemma_3-12B-IT,feverous,markdown,latex,0.9575,0.7648,0.9773,0.9446,0.7817,0.7529,76
VLM,gemma_3-12B-IT,wikitq,latex,html,0.8723,0.6655,0.9318,0.8558,0.6915,0.6567,179
VLM,gemma_3-12B-IT,hybridqa,latex,html,0.9688,0.7976,0.975,0.9698,0.7987,0.7986,148
VLM,gemma_3-12B-IT,sqa,latex,html,0.9834,0.868,0.9839,0.9853,0.8667,0.8708,102
VLM,gemma_3-12B-IT,tabfact,latex,html,0.9753,0.8533,0.9777,0.9767,0.8543,0.8544,124
VLM,gemma_3-12B-IT,feverous,latex,html,0.9354,0.7589,0.9465,0.9341,0.7678,0.7546,76
VLM,gemma_3-12B-IT,wikitq,latex,markdown,0.8984,0.6698,0.9181,0.9135,0.6782,0.6735,179
VLM,gemma_3-12B-IT,hybridqa,latex,markdown,0.971,0.7972,0.9801,0.9704,0.7998,0.7962,148
VLM,gemma_3-12B-IT,sqa,latex,markdown,0.9596,0.8303,0.957,0.9701,0.8258,0.8381,102
VLM,gemma_3-12B-IT,tabfact,latex,markdown,0.9801,0.8654,0.9818,0.9811,0.8658,0.8669,124
VLM,gemma_3-12B-IT,feverous,latex,markdown,0.9326,0.7478,0.9378,0.9388,0.7545,0.7442,76
VLM,gemma_3-12B-IT,wikitq,latex,latex,0.8183,0.6417,0.8965,0.7887,0.6795,0.6243,179
VLM,gemma_3-12B-IT,hybridqa,latex,latex,0.9282,0.7727,0.9464,0.9193,0.7869,0.7643,148
VLM,gemma_3-12B-IT,sqa,latex,latex,0.9448,0.8378,0.9471,0.9588,0.8463,0.8372,102
VLM,gemma_3-12B-IT,tabfact,latex,latex,0.9591,0.8252,0.9557,0.969,0.8213,0.833,124
VLM,gemma_3-12B-IT,feverous,latex,latex,0.9211,0.7364,0.9207,0.9313,0.7401,0.738,76
VLM,gemma_3-27B-IT,wikitq,html,html,0.9255,0.7672,0.9632,0.914,0.7796,0.7622,179
VLM,gemma_3-27B-IT,hybridqa,html,html,0.9857,0.8889,0.9886,0.9844,0.8907,0.8881,148
VLM,gemma_3-27B-IT,sqa,html,html,0.9915,0.9335,0.9887,0.9957,0.9317,0.9361,102
VLM,gemma_3-27B-IT,tabfact,html,html,0.9869,0.9042,0.988,0.987,0.9049,0.9044,124
VLM,gemma_3-27B-IT,feverous,html,html,0.9693,0.8493,0.9762,0.9638,0.8531,0.8464,76
VLM,gemma_3-27B-IT,wikitq,html,markdown,0.9374,0.7499,0.9653,0.9374,0.752,0.7533,179
VLM,gemma_3-27B-IT,hybridqa,html,markdown,0.963,0.8761,0.9574,0.9878,0.8739,0.8883,148
VLM,gemma_3-27B-IT,sqa,html,markdown,0.9907,0.9113,0.9854,0.9981,0.9086,0.915,102
VLM,gemma_3-27B-IT,tabfact,html,markdown,0.9839,0.8951,0.9792,0.99,0.892,0.8993,124
VLM,gemma_3-27B-IT,feverous,html,markdown,0.9857,0.8403,0.9849,0.9903,0.8403,0.842,76
VLM,gemma_3-27B-IT,wikitq,html,latex,0.8543,0.6919,0.9418,0.821,0.7338,0.6729,179
VLM,gemma_3-27B-IT,hybridqa,html,latex,0.9688,0.8723,0.9659,0.979,0.8676,0.8809,148
VLM,gemma_3-27B-IT,sqa,html,latex,0.9835,0.9217,0.9774,0.9922,0.9163,0.9292,102
VLM,gemma_3-27B-IT,tabfact,html,latex,0.9693,0.8762,0.9636,0.9797,0.8708,0.8849,124
VLM,gemma_3-27B-IT,feverous,html,latex,0.9636,0.8103,0.9579,0.9772,0.8054,0.8204,76
VLM,gemma_3-27B-IT,wikitq,markdown,html,0.9443,0.77,0.9803,0.9299,0.782,0.764,179
VLM,gemma_3-27B-IT,hybridqa,markdown,html,0.986,0.8668,0.9906,0.9841,0.8693,0.8649,148
VLM,gemma_3-27B-IT,sqa,markdown,html,0.9918,0.9086,0.9927,0.9921,0.9092,0.9088,102
VLM,gemma_3-27B-IT,tabfact,markdown,html,0.992,0.9203,0.9964,0.9883,0.9238,0.9173,124
VLM,gemma_3-27B-IT,feverous,markdown,html,0.9885,0.8349,0.9953,0.9827,0.8385,0.8318,76
VLM,gemma_3-27B-IT,wikitq,markdown,markdown,0.9459,0.7594,0.9678,0.948,0.7602,0.7627,179
VLM,gemma_3-27B-IT,hybridqa,markdown,markdown,0.9821,0.8672,0.9814,0.9884,0.8679,0.8676,148
VLM,gemma_3-27B-IT,sqa,markdown,markdown,0.9894,0.9276,0.9868,0.9939,0.9263,0.9302,102
VLM,gemma_3-27B-IT,tabfact,markdown,markdown,0.993,0.9073,0.9939,0.9926,0.9084,0.9066,124
VLM,gemma_3-27B-IT,feverous,markdown,markdown,0.9759,0.8282,0.9841,0.9806,0.8345,0.8271,76
VLM,gemma_3-27B-IT,wikitq,markdown,latex,0.8603,0.6848,0.9526,0.8215,0.7296,0.6629,179
VLM,gemma_3-27B-IT,hybridqa,markdown,latex,0.9765,0.8526,0.9821,0.9749,0.8552,0.852,148
VLM,gemma_3-27B-IT,sqa,markdown,latex,0.9793,0.887,0.9791,0.9824,0.8877,0.8883,102
VLM,gemma_3-27B-IT,tabfact,markdown,latex,0.987,0.8955,0.9887,0.9869,0.8974,0.8946,124
VLM,gemma_3-27B-IT,feverous,markdown,latex,0.9675,0.8065,0.9754,0.9628,0.8132,0.8016,76
VLM,gemma_3-27B-IT,wikitq,latex,html,0.9205,0.7183,0.9564,0.9154,0.7305,0.7162,179
VLM,gemma_3-27B-IT,hybridqa,latex,html,0.9822,0.8474,0.9902,0.9788,0.8488,0.8464,148
VLM,gemma_3-27B-IT,sqa,latex,html,0.9856,0.9057,0.9861,0.991,0.9069,0.905,102
VLM,gemma_3-27B-IT,tabfact,latex,html,0.9896,0.9131,0.9914,0.9892,0.9143,0.9131,124
VLM,gemma_3-27B-IT,feverous,latex,html,0.977,0.8114,0.9869,0.9695,0.8186,0.8058,76
VLM,gemma_3-27B-IT,wikitq,latex,markdown,0.909,0.7061,0.9232,0.927,0.7108,0.7121,179
VLM,gemma_3-27B-IT,hybridqa,latex,markdown,0.9726,0.837,0.9776,0.9787,0.8439,0.837,148
VLM,gemma_3-27B-IT,sqa,latex,markdown,0.9847,0.8871,0.9844,0.9924,0.8868,0.8882,102
VLM,gemma_3-27B-IT,tabfact,latex,markdown,0.9911,0.9102,0.989,0.994,0.9083,0.9129,124
VLM,gemma_3-27B-IT,feverous,latex,markdown,0.9762,0.8008,0.9892,0.9704,0.8063,0.7972,76
VLM,gemma_3-27B-IT,wikitq,latex,latex,0.8471,0.6983,0.9108,0.8202,0.7326,0.6807,179
VLM,gemma_3-27B-IT,hybridqa,latex,latex,0.9763,0.8374,0.9758,0.9801,0.8372,0.8394,148
VLM,gemma_3-27B-IT,sqa,latex,latex,0.9706,0.8928,0.9754,0.9764,0.8972,0.892,102
VLM,gemma_3-27B-IT,tabfact,latex,latex,0.9872,0.9052,0.9846,0.9917,0.9023,0.9096,124
VLM,gemma_3-27B-IT,feverous,latex,latex,0.9565,0.7897,0.964,0.9586,0.7985,0.7837,76
VLM,gpt-5.2,wikitq,html,html,0.9406,0.9124,0.9524,0.9405,0.9184,0.9124,168
VLM,gpt-5.2,hybridqa,html,html,0.9983,0.9901,0.997,1.0,0.9888,0.9917,148
VLM,gpt-5.2,sqa,html,html,1.0,0.9933,1.0,1.0,0.9933,0.9933,101
VLM,gpt-5.2,tabfact,html,html,0.9985,0.9953,0.9973,1.0,0.9941,0.9967,122
VLM,gpt-5.2,feverous,html,html,0.9795,0.9632,0.9894,0.9842,0.9601,0.968,76
VLM,gpt-5.2,wikitq,html,markdown,0.9431,0.8978,0.9743,0.9436,0.8973,0.8986,178
VLM,gpt-5.2,hybridqa,html,markdown,1.0,0.9653,1.0,1.0,0.9653,0.9653,148
VLM,gpt-5.2,sqa,html,markdown,1.0,0.9612,1.0,1.0,0.9612,0.9612,102
VLM,gpt-5.2,tabfact,html,markdown,0.9993,0.9805,0.9987,1.0,0.98,0.9812,124
VLM,gpt-5.2,feverous,html,markdown,0.9869,0.9268,1.0,0.9869,0.9268,0.9268,76
VLM,gpt-5.2,wikitq,html,latex,0.6659,0.6351,0.8352,0.656,0.7322,0.6253,176
VLM,gpt-5.2,hybridqa,html,latex,0.8886,0.8572,0.9402,0.8993,0.8671,0.8649,148
VLM,gpt-5.2,sqa,html,latex,0.8475,0.8287,0.903,0.8455,0.8539,0.8254,102
VLM,gpt-5.2,tabfact,html,latex,0.8602,0.8426,0.9308,0.8516,0.8678,0.8373,123
VLM,gpt-5.2,feverous,html,latex,0.8832,0.8192,0.9382,0.8786,0.8443,0.8138,76
VLM,gpt-5.2,wikitq,markdown,html,0.9463,0.9118,0.9581,0.9462,0.9148,0.9118,167
VLM,gpt-5.2,hybridqa,markdown,html,0.9992,0.9648,1.0,0.9986,0.9649,0.9648,148
VLM,gpt-5.2,sqa,markdown,html,1.0,0.9725,1.0,1.0,0.9725,0.9725,101
VLM,gpt-5.2,tabfact,markdown,html,1.0,0.9925,1.0,1.0,0.9925,0.9925,123
VLM,gpt-5.2,feverous,markdown,html,0.9857,0.9557,0.986,0.9856,0.9561,0.9554,76
VLM,gpt-5.2,wikitq,markdown,markdown,0.9762,0.9507,0.9869,0.977,0.9502,0.9516,175
VLM,gpt-5.2,hybridqa,markdown,markdown,0.9984,0.9681,0.9983,0.9989,0.9678,0.9685,148
VLM,gpt-5.2,sqa,markdown,markdown,1.0,0.9878,1.0,1.0,0.9878,0.9878,102
VLM,gpt-5.2,tabfact,markdown,markdown,1.0,0.9949,1.0,1.0,0.9949,0.9949,124
VLM,gpt-5.2,feverous,markdown,markdown,0.9865,0.9572,0.9991,0.9869,0.957,0.9576,76
VLM,gpt-5.2,wikitq,markdown,latex,0.8255,0.7776,0.9371,0.8049,0.8385,0.7591,177
VLM,gpt-5.2,hybridqa,markdown,latex,0.9927,0.9528,0.9932,0.9923,0.9529,0.9527,148
VLM,gpt-5.2,sqa,markdown,latex,1.0,0.9619,1.0,1.0,0.9619,0.9619,102
VLM,gpt-5.2,tabfact,markdown,latex,1.0,0.9875,1.0,1.0,0.9875,0.9875,124
VLM,gpt-5.2,feverous,markdown,latex,0.9857,0.9145,0.986,0.9856,0.9149,0.9143,76
VLM,gpt-5.2,wikitq,latex,html,0.9408,0.8832,0.9657,0.953,0.8776,0.8928,160
VLM,gpt-5.2,hybridqa,latex,html,0.9904,0.9414,0.9949,0.992,0.9442,0.9421,148
VLM,gpt-5.2,sqa,latex,html,0.9892,0.9716,0.997,0.9905,0.9704,0.9732,102
VLM,gpt-5.2,tabfact,latex,html,1.0,0.9964,1.0,1.0,0.9964,0.9964,122
VLM,gpt-5.2,feverous,latex,html,0.9829,0.9384,0.9827,0.9838,0.9381,0.9391,76
VLM,gpt-5.2,wikitq,latex,markdown,0.9471,0.8982,0.9795,0.9582,0.8937,0.9073,174
VLM,gpt-5.2,hybridqa,latex,markdown,0.9663,0.9292,0.9975,0.9634,0.9409,0.9289,148
VLM,gpt-5.2,sqa,latex,markdown,0.9907,0.9495,0.9989,0.9905,0.9501,0.9498,102
VLM,gpt-5.2,tabfact,latex,markdown,0.9993,0.9896,0.9986,1.0,0.989,0.9903,124
VLM,gpt-5.2,feverous,latex,markdown,0.9849,0.9403,0.9954,0.9858,0.9399,0.9412,76
VLM,gpt-5.2,wikitq,latex,latex,0.7981,0.7641,0.9235,0.7878,0.816,0.7546,174
VLM,gpt-5.2,hybridqa,latex,latex,0.9773,0.9245,0.9899,0.9768,0.9332,0.9246,148
VLM,gpt-5.2,sqa,latex,latex,0.9903,0.9745,0.9989,0.9905,0.9741,0.975,102
VLM,gpt-5.2,tabfact,latex,latex,0.9931,0.9781,0.9941,0.9937,0.979,0.9786,124
VLM,gpt-5.2,feverous,latex,latex,0.971,0.8766,0.9974,0.9704,0.8763,0.8774,76
VLM,llava_1.6-vicuna-13B,wikitq,html,html,0.5488,0.3545,0.8804,0.5089,0.4899,0.3344,179
VLM,llava_1.6-vicuna-13B,hybridqa,html,html,0.6787,0.4936,0.9789,0.6159,0.6886,0.4497,148
VLM,llava_1.6-vicuna-13B,sqa,html,html,0.6935,0.5185,0.9576,0.6568,0.6935,0.4926,102
VLM,llava_1.6-vicuna-13B,tabfact,html,html,0.7138,0.4883,0.9341,0.6849,0.629,0.4667,124
VLM,llava_1.6-vicuna-13B,feverous,html,html,0.765,0.5012,0.9022,0.7461,0.5573,0.4895,76
VLM,llava_1.6-vicuna-13B,wikitq,html,markdown,0.7269,0.4112,0.7621,0.799,0.4161,0.4322,179
VLM,llava_1.6-vicuna-13B,hybridqa,html,markdown,0.782,0.5418,0.8593,0.8299,0.5704,0.5436,148
VLM,llava_1.6-vicuna-13B,sqa,html,markdown,0.8661,0.6057,0.8958,0.9084,0.6076,0.6232,102
VLM,llava_1.6-vicuna-13B,tabfact,html,markdown,0.9071,0.5703,0.8965,0.9599,0.566,0.5872,124
VLM,llava_1.6-vicuna-13B,feverous,html,markdown,0.7893,0.4849,0.8158,0.8515,0.5046,0.487,76
VLM,llava_1.6-vicuna-13B,wikitq,html,latex,0.1443,0.0982,0.1412,0.1622,0.0917,0.1176,179
VLM,llava_1.6-vicuna-13B,hybridqa,html,latex,0.2547,0.1715,0.2409,0.2873,0.1602,0.1925,148
VLM,llava_1.6-vicuna-13B,sqa,html,latex,0.287,0.1925,0.2795,0.3061,0.1866,0.2056,102
VLM,llava_1.6-vicuna-13B,tabfact,html,latex,0.2456,0.1586,0.2252,0.2858,0.1437,0.1855,124
VLM,llava_1.6-vicuna-13B,feverous,html,latex,0.2661,0.1544,0.2344,0.3436,0.135,0.1981,76
VLM,llava_1.6-vicuna-13B,wikitq,markdown,html,0.4956,0.3418,0.8118,0.4552,0.4943,0.3186,179
VLM,llava_1.6-vicuna-13B,hybridqa,markdown,html,0.6325,0.465,0.8598,0.5805,0.608,0.4291,148
VLM,llava_1.6-vicuna-13B,sqa,markdown,html,0.6527,0.5097,0.8659,0.6197,0.6571,0.4852,102
VLM,llava_1.6-vicuna-13B,tabfact,markdown,html,0.7197,0.523,0.9342,0.6975,0.6778,0.502,124
VLM,llava_1.6-vicuna-13B,feverous,markdown,html,0.7064,0.4966,0.831,0.694,0.5534,0.49,76
VLM,llava_1.6-vicuna-13B,wikitq,markdown,markdown,0.727,0.4176,0.8133,0.7709,0.4225,0.4282,179
VLM,llava_1.6-vicuna-13B,hybridqa,markdown,markdown,0.6587,0.4851,0.8039,0.6994,0.5488,0.4894,148
VLM,llava_1.6-vicuna-13B,sqa,markdown,markdown,0.7994,0.6134,0.9176,0.8372,0.6379,0.623,102
VLM,llava_1.6-vicuna-13B,tabfact,markdown,markdown,0.8691,0.599,0.9052,0.9155,0.6055,0.6132,124
VLM,llava_1.6-vicuna-13B,feverous,markdown,markdown,0.7036,0.4686,0.8227,0.7471,0.5319,0.4729,76
VLM,llava_1.6-vicuna-13B,wikitq,markdown,latex,0.1599,0.1074,0.156,0.1866,0.1004,0.125,179
VLM,llava_1.6-vicuna-13B,hybridqa,markdown,latex,0.2255,0.1482,0.2203,0.2419,0.1449,0.1586,148
VLM,llava_1.6-vicuna-13B,sqa,markdown,latex,0.2437,0.1742,0.229,0.2824,0.1636,0.2016,102
VLM,llava_1.6-vicuna-13B,tabfact,markdown,latex,0.2597,0.1777,0.2372,0.3023,0.1606,0.2098,124
VLM,llava_1.6-vicuna-13B,feverous,markdown,latex,0.2672,0.1715,0.2398,0.3189,0.1551,0.1995,76
VLM,llava_1.6-vicuna-13B,wikitq,latex,html,0.532,0.3507,0.8492,0.5026,0.4895,0.3288,179
VLM,llava_1.6-vicuna-13B,hybridqa,latex,html,0.6654,0.4712,0.9063,0.6309,0.6495,0.4317,148
VLM,llava_1.6-vicuna-13B,sqa,latex,html,0.6929,0.5385,0.9384,0.6634,0.7049,0.5105,102
VLM,llava_1.6-vicuna-13B,tabfact,latex,html,0.7093,0.5034,0.9184,0.7032,0.6525,0.4902,124
VLM,llava_1.6-vicuna-13B,feverous,latex,html,0.7369,0.5028,0.853,0.7485,0.5669,0.4933,76
VLM,llava_1.6-vicuna-13B,wikitq,latex,markdown,0.7112,0.4058,0.7945,0.7544,0.4199,0.4138,179
VLM,llava_1.6-vicuna-13B,hybridqa,latex,markdown,0.7475,0.5264,0.809,0.8252,0.5414,0.5357,148
VLM,llava_1.6-vicuna-13B,sqa,latex,markdown,0.8332,0.6008,0.8664,0.9001,0.6088,0.6247,102
VLM,llava_1.6-vicuna-13B,tabfact,latex,markdown,0.8059,0.5253,0.7933,0.9321,0.511,0.5724,124
VLM,llava_1.6-vicuna-13B,feverous,latex,markdown,0.6941,0.4518,0.7664,0.7796,0.4894,0.4564,76
VLM,llava_1.6-vicuna-13B,wikitq,latex,latex,0.1884,0.1366,0.1727,0.2278,0.124,0.1659,179
VLM,llava_1.6-vicuna-13B,hybridqa,latex,latex,0.309,0.2054,0.2925,0.3535,0.1895,0.2396,148
VLM,llava_1.6-vicuna-13B,sqa,latex,latex,0.3266,0.2534,0.2997,0.3816,0.231,0.2963,102
VLM,llava_1.6-vicuna-13B,tabfact,latex,latex,0.2374,0.1814,0.2134,0.2956,0.1609,0.2257,124
VLM,llava_1.6-vicuna-13B,feverous,latex,latex,0.34,0.2246,0.3236,0.3814,0.2151,0.2503,76
VLM,llava_1.6-vicuna-7B,wikitq,html,html,0.6003,0.3324,0.8753,0.5633,0.4258,0.318,179
VLM,llava_1.6-vicuna-7B,hybridqa,html,html,0.7057,0.432,0.9189,0.6601,0.577,0.4008,148
VLM,llava_1.6-vicuna-7B,sqa,html,html,0.7295,0.4984,0.941,0.6876,0.6222,0.4717,102
VLM,llava_1.6-vicuna-7B,tabfact,html,html,0.7686,0.4812,0.9264,0.7449,0.5488,0.4706,124
VLM,llava_1.6-vicuna-7B,feverous,html,html,0.763,0.4772,0.8271,0.7639,0.4998,0.4785,76
VLM,llava_1.6-vicuna-7B,wikitq,html,markdown,0.6121,0.3299,0.6934,0.6911,0.3404,0.3628,179
VLM,llava_1.6-vicuna-7B,hybridqa,html,markdown,0.589,0.386,0.6399,0.6527,0.4082,0.4029,148
VLM,llava_1.6-vicuna-7B,sqa,html,markdown,0.7436,0.4902,0.792,0.8087,0.4996,0.5167,102
VLM,llava_1.6-vicuna-7B,tabfact,html,markdown,0.7273,0.4433,0.7286,0.8054,0.4446,0.4662,124
VLM,llava_1.6-vicuna-7B,feverous,html,markdown,0.6929,0.3975,0.7137,0.762,0.3914,0.4152,76
VLM,llava_1.6-vicuna-7B,wikitq,html,latex,0.0445,0.0211,0.0444,0.0495,0.021,0.0227,179
