prompt_version,pipeline,model,format,task,correct,total,accuracy_pct,field_accuracy_pct,relaxed_accuracy_pct
original,VLM-TEXT,llava_1.6-vicuna-13B,latex,cell_lookup,14,619,2.3,12.8,12.7
original,VLM-TEXT,llava_1.6-vicuna-13B,latex,reverse_lookup,15,619,2.4,2.4,4.2
original,VLM-TEXT,llava_1.6-vicuna-13B,latex,column_retrieval,120,619,19.4,19.4,32.3
original,VLM-TEXT,llava_1.6-vicuna-13B,latex,row_retrieval,1,619,0.2,3.8,11.6
original,VLM-TEXT,llava_1.6-vicuna-13B,latex,OVERALL,368,6190,5.9,9.2,25.8
original,VLM-TEXT,llava_1.6-vicuna-7B,html,table_partition,0,599,0.0,0.0,45.4
original,VLM-TEXT,llava_1.6-vicuna-7B,html,table_first_cell,165,600,27.5,27.5,49.5
original,VLM-TEXT,llava_1.6-vicuna-7B,html,table_last_cell,16,600,2.7,2.7,5.3
original,VLM-TEXT,llava_1.6-vicuna-7B,html,size_detection,0,600,0.0,0.0,46.3
original,VLM-TEXT,llava_1.6-vicuna-7B,html,number_of_rows,0,600,0.0,0.0,34.0
original,VLM-TEXT,llava_1.6-vicuna-7B,html,number_of_columns,0,600,0.0,0.0,8.5
original,VLM-TEXT,llava_1.6-vicuna-7B,html,cell_lookup,0,599,0.0,1.1,8.7
original,VLM-TEXT,llava_1.6-vicuna-7B,html,reverse_lookup,6,599,1.0,2.0,3.3
original,VLM-TEXT,llava_1.6-vicuna-7B,html,column_retrieval,86,599,14.4,14.4,22.4
original,VLM-TEXT,llava_1.6-vicuna-7B,html,row_retrieval,0,599,0.0,2.6,53.6
original,VLM-TEXT,llava_1.6-vicuna-7B,html,OVERALL,273,5995,4.6,5.0,27.7
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,table_partition,0,616,0.0,1.1,39.4
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,table_first_cell,99,616,16.1,17.2,33.1
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,table_last_cell,18,616,2.9,2.9,6.0
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,size_detection,0,616,0.0,0.3,25.6
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,number_of_rows,11,616,1.8,1.8,29.4
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,number_of_columns,2,616,0.3,0.3,8.9
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,cell_lookup,1,616,0.2,3.5,9.8
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,reverse_lookup,4,616,0.6,1.6,3.1
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,column_retrieval,24,616,3.9,3.9,7.5
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,row_retrieval,0,616,0.0,4.6,44.7
original,VLM-TEXT,llava_1.6-vicuna-7B,markdown,OVERALL,159,6160,2.6,3.7,20.7
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,table_partition,0,619,0.0,1.8,39.9
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,table_first_cell,236,619,38.1,38.1,48.5
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,table_last_cell,17,619,2.7,2.7,5.0
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,size_detection,0,619,0.0,0.4,31.5
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,number_of_rows,67,619,10.8,10.8,24.7
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,number_of_columns,52,619,8.4,8.4,24.1
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,cell_lookup,6,619,1.0,7.3,10.3
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,reverse_lookup,5,619,0.8,1.6,2.3
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,column_retrieval,84,619,13.6,13.6,15.8
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,row_retrieval,0,619,0.0,3.2,36.9
original,VLM-TEXT,llava_1.6-vicuna-7B,latex,OVERALL,467,6190,7.5,8.8,23.9
original,VLM-TEXT,ministral_3-14B-Instruct,html,table_partition,126,629,20.0,48.7,66.1
original,VLM-TEXT,ministral_3-14B-Instruct,html,table_first_cell,601,629,95.5,95.5,95.9
original,VLM-TEXT,ministral_3-14B-Instruct,html,table_last_cell,360,629,57.2,56.3,57.7
original,VLM-TEXT,ministral_3-14B-Instruct,html,size_detection,141,629,22.4,60.3,61.4
original,VLM-TEXT,ministral_3-14B-Instruct,html,number_of_rows,322,629,51.2,51.2,51.2
original,VLM-TEXT,ministral_3-14B-Instruct,html,number_of_columns,623,629,99.0,99.0,99.0
original,VLM-TEXT,ministral_3-14B-Instruct,html,cell_lookup,259,629,41.2,62.3,63.6
original,VLM-TEXT,ministral_3-14B-Instruct,html,reverse_lookup,237,629,37.7,37.7,38.3
original,VLM-TEXT,ministral_3-14B-Instruct,html,column_retrieval,556,629,88.4,88.4,88.9
original,VLM-TEXT,ministral_3-14B-Instruct,html,row_retrieval,143,629,22.7,33.1,36.8
original,VLM-TEXT,ministral_3-14B-Instruct,html,OVERALL,3368,6290,53.5,63.3,65.9
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,table_partition,11,629,1.7,7.8,36.8
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,table_first_cell,434,629,69.0,69.0,70.3
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,table_last_cell,311,629,49.4,48.8,49.8
original,VLM-TEXT,ministral_3-14B-Instruct,markdown,size_detection,41,629,6.5,30.5,47.7
